xCoord,yCoord,1,2,3,4,5,6,7,8
0,0,-24,-73,-82,-77,-80,-76,-77,-80
0,0,-24,-73,-82,-77,-80,-76,-77,-80
0,0,-24,-73,-82,-77,-80,-76,-77,-80
0,0,-24,-73,-82,-77,-80,-76,-77,-78
0,0,-24,-73,-82,-77,-80,-76,-72,-78
0,0,-24,-78,-82,-77,-80,-76,-72,-78
0,0,-24,-78,-82,-77,-80,-76,-72,-78
0,0,-24,-78,-81,-77,-80,-76,-72,-78
0,0,-24,-78,-81,-76,-80,-76,-72,-78
0,0,-24,-78,-81,-76,-80,-76,-72,-78
0,0,-24,-78,-81,-76,-80,-76,-77,-78
0,0,-24,-78,-81,-76,-80,-76,-77,-78
0,0,-24,-78,-82,-76,-80,-76,-77,-78
0,0,-24,-79,-82,-76,-80,-76,-77,-78
0,0,-24,-79,-82,-76,-80,-76,-77,-78
0,0,-24,-79,-82,-76,-80,-76,-77,-78
0,0,-24,-79,-82,-76,-80,-76,-77,-78
0,0,-24,-79,-82,-76,-80,-72,-77,-78
0,0,-25,-79,-82,-76,-80,-72,-77,-78
0,0,-25,-79,-81,-76,-80,-72,-77,-78
0,0,-24,-79,-81,-76,-80,-72,-77,-78
0,0,-24,-79,-81,-76,-80,-72,-72,-78
0,0,-24,-79,-81,-77,-80,-72,-72,-78
0,0,-24,-79,-81,-77,-80,-72,-72,-78
0,0,-24,-79,-81,-77,-80,-72,-72,-78
0,0,-24,-79,-81,-77,-80,-72,-72,-76
0,0,-27,-79,-81,-77,-80,-72,-72,-76
0,0,-27,-79,-81,-77,-80,-66,-72,-76
0,0,-27,-73,-81,-77,-80,-66,-72,-76
0,0,-27,-73,-81,-77,-80,-66,-76,-76
0,0,-27,-73,-81,-77,-80,-66,-76,-80
0,0,-24,-73,-81,-77,-80,-66,-76,-80
0,0,-24,-73,-81,-77,-80,-66,-76,-80
0,0,-24,-73,-81,-77,-80,-74,-76,-80
0,0,-24,-72,-81,-77,-80,-74,-76,-80
0,0,-24,-72,-81,-77,-80,-74,-76,-80
0,0,-24,-72,-81,-77,-79,-74,-76,-80
0,0,-24,-73,-81,-77,-79,-74,-76,-80
0,0,-24,-73,-81,-77,-79,-74,-77,-80
0,0,-24,-73,-81,-77,-79,-74,-77,-80
0,0,-24,-73,-82,-77,-79,-74,-77,-80
0,0,-24,-73,-82,-77,-79,-74,-77,-80
0,0,-24,-73,-82,-77,-79,-74,-77,-80
0,0,-24,-73,-82,-77,-79,-74,-77,-80
0,0,-24,-73,-82,-77,-79,-74,-76,-80
0,0,-24,-73,-82,-77,-79,-74,-76,-80
0,0,-27,-73,-82,-77,-79,-74,-76,-80
0,0,-27,-73,-82,-77,-79,-72,-76,-80
0,0,-27,-73,-82,-77,-80,-72,-76,-80
0,0,-27,-73,-82,-77,-80,-72,-76,-80
0,0,-27,-73,-82,-77,-80,-72,-77,-80
0,0,-27,-73,-82,-77,-80,-72,-77,-80
0,0,-27,-79,-82,-77,-80,-72,-77,-80
0,0,-27,-79,-82,-77,-80,-72,-77,-80
0,0,-27,-79,-82,-77,-80,-72,-77,-80
0,0,-27,-79,-82,-77,-80,-72,-77,-80
0,0,-27,-79,-82,-77,-80,-72,-77,-80
0,0,-27,-79,-82,-77,-80,-72,-77,-80
0,0,-27,-79,-82,-77,-79,-72,-77,-80
0,0,-27,-73,-82,-77,-79,-72,-77,-80
0,0,-27,-73,-82,-77,-79,-72,-77,-80
0,0,-24,-73,-74,-77,-79,-72,-77,-80
0,0,-27,-73,-74,-77,-79,-72,-77,-80
0,0,-24,-73,-74,-77,-79,-74,-77,-80
0,0,-24,-73,-74,-77,-79,-74,-77,-80
0,0,-24,-73,-74,-77,-79,-74,-76,-80
0,0,-24,-78,-74,-77,-79,-74,-76,-80
0,0,-24,-78,-74,-76,-79,-74,-76,-80
0,0,-24,-78,-74,-76,-79,-74,-76,-76
